Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
lid-tray,Lid tray,"<p>Metal rolling tray with a magnetic lid. Built for travel and a clean table. For adults 21+ using legal tobacco and permitted loose-leaf. Not a nicotine product.</p>",Hearthfold,Accessories,"tray, rolling, 21+",TRUE,Title,Default Title,28.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-tray.png,Rolling tray with lid | Hearthfold,Metal rolling tray with magnetic lid. 21+ tobacco accessory.,active
four-piece-mill,Four-piece mill,"<p>Aluminum four-piece mill with a catch chamber. Photographs clean. For adults 21+.</p>",Hearthfold,Accessories,"grinder, mill, 21+",TRUE,Title,Default Title,24.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-grinder.png,Four-piece mill | Hearthfold,Aluminum four-piece mill for adults 21+.,active
starter-kit,Starter kit,"<p>Lid tray + hemp papers + 32 pre-roll cones. One box. Adults 21+ only. Legal tobacco accessories. Does not include nicotine or cannabis.</p>",Hearthfold,Kits,"kit, tray, papers, cones, 21+",TRUE,Title,Default Title,39.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-tray.png,Starter rolling kit $39 | Hearthfold,Tray papers and cones kit for adults 21+.,active
hemp-papers,Hemp papers,"<p>Natural hemp rolling papers booklet. Unbranded style. Adults 21+. Not an official Zig-Zag product.</p>",Hearthfold,Papers,"papers, hemp, 21+",TRUE,Title,Default Title,4.50,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-papers.png,Hemp rolling papers | Hearthfold,Natural hemp rolling papers. 21+.,active
pre-roll-cones,Pre-roll cones 32-pack,"<p>Unbleached paper cones. 32 count. Adults 21+. No strain names. For legal tobacco and permitted loose-leaf.</p>",Hearthfold,Papers,"cones, preroll, 21+",TRUE,Title,Default Title,12.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-cones.png,Pre-roll cones 32 pack | Hearthfold,Unbleached paper cones. Adults 21+.,active
odor-pouch,Odor pouch,"<p>Carbon-lined zip pouch for travel and the gym. Adults 21+.</p>",Hearthfold,Storage,"smell-proof, pouch, 21+",TRUE,Title,Medium,18.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-bag.png,Smell proof bag | Hearthfold,Carbon-lined odor pouch for travel. 21+.,active
oven-turkey-bags,Oven / turkey bags 10-pack,"<p>Nylon oven bags. Roasting camping leftovers odor control. Kitchen and garden use. 10 pack.</p>",Hearthfold,Storage,"turkey-bags, oven, odor",TRUE,Title,Default Title,14.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-bag.png,Turkey bags 10 pack | Hearthfold,Nylon oven bags for cooking and odor control.,active
mylar-zipper-50,Mylar zipper bags 50-pack,"<p>Unprinted food-grade zipper bags. Sandwich quart and gallon mix. Coffee spices freeze-dried food. No cannabis print.</p>",Hearthfold,Storage,"mylar, food, zipper",TRUE,Title,Default Title,16.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-bag.png,Mylar zipper bags food grade | Hearthfold,Unprinted mylar zipper bags for kitchen storage.,active
jar-clean-kit,Jar + clean kit,"<p>Amber jar brush and screens. Adults 21+ tobacco accessory kit.</p>",Hearthfold,Accessories,"jar, clean, 21+",TRUE,Title,Default Title,22.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-jar.png,Jar and clean kit | Hearthfold,Amber jar with cleaning kit. 21+.,active
carbon-refills,Carbon odor refills 4-pack,"<p>Replacement carbon packs for Hearthfold pouches.</p>",Hearthfold,Storage,"carbon, refill, odor",TRUE,Title,Default Title,12.00,TRUE,TRUE,https://invinciblelude.github.io/hearthfold-supply/images/demo-bag.png,Carbon odor refills | Hearthfold,Replacement carbon packs for odor pouches.,active
